Request_ID,Request_Time,Status,Passengers,Pickup_Lat,Pickup_Lon,Dropoff_Lat,Dropoff_Lon,Exp_Pickup_Time,Exp_Dropoff_Time,Act_Pickup_Time,Act_Dropoff_Time
R214960,2025-10-01 20:15:00,COMPLETED,2,40.81538728,-73.95890784,40.8114065,-73.9535015,2025-10-01 20:15:20,2025-10-01 20:16:42,2025-10-01 20:15:20,2025-10-01 20:16:42
R214953,2025-10-01 20:12:00,COMPLETED,1,40.8182581,-73.9593595,40.80195781,-73.96229513,2025-10-01 20:13:24,2025-10-01 20:17:23,2025-10-01 20:13:24,2025-10-01 20:17:23
R214956,2025-10-01 20:13:00,COMPLETED,1,40.80992776,-73.96051582,40.80032183,-73.96083802,2025-10-01 20:13:58,2025-10-01 20:17:33,2025-10-01 20:13:58,2025-10-01 20:17:33
R214962,2025-10-01 20:15:00,COMPLETED,2,40.80687998,-73.96123767,40.79769646,-73.96282051,2025-10-01 20:15:50,2025-10-01 20:18:14,2025-10-01 20:15:50,2025-10-01 20:18:42
R214965,2025-10-01 20:16:00,COMPLETED,1,40.81557454,-73.95787183,40.81343774,-73.95159043,2025-10-01 20:16:38,2025-10-01 20:18:16,2025-10-01 20:16:38,2025-10-01 20:18:16
R214959,2025-10-01 20:14:00,COMPLETED,1,40.82181556,-73.95409059,40.8090898,-73.9491517,2025-10-01 20:15:04,2025-10-01 20:18:42,2025-10-01 20:15:04,2025-10-01 20:18:42
R214963,2025-10-01 20:15:00,COMPLETED,1,40.80670183,-73.96320909,40.79952109,-73.96305889,2025-10-01 20:16:38,2025-10-01 20:18:55,2025-10-01 20:16:38,2025-10-01 20:18:55
R214966,2025-10-01 20:16:00,COMPLETED,1,40.81181143,-73.95896014,40.8034301,-73.9675838,2025-10-01 20:16:09,2025-10-01 20:18:46,2025-10-01 20:16:09,2025-10-01 20:18:46
R214967,2025-10-01 20:16:00,COMPLETED,1,40.80701169,-73.96105561,40.79989621,-73.96372978,2025-10-01 20:16:18,2025-10-01 20:19:16,2025-10-01 20:16:18,2025-10-01 20:19:16
R214961,2025-10-01 20:15:00,COMPLETED,1,40.8066136,-73.9638932,40.79668019,-73.96281079,2025-10-01 20:16:29,2025-10-01 20:19:15,2025-10-01 20:16:51,2025-10-01 20:19:38
R214964,2025-10-01 20:16:00,COMPLETED,1,40.80643029,-73.96232598,40.79936982,-73.96742016,2025-10-01 20:16:27,2025-10-01 20:20:24,2025-10-01 20:16:27,2025-10-01 20:20:43
R214971,2025-10-01 20:17:00,COMPLETED,2,40.8101282,-73.9619454,40.8135691,-73.9608119,2025-10-01 20:19:27,2025-10-01 20:20:25,2025-10-01 20:19:30,2025-10-01 20:20:28
R214968,2025-10-01 20:17:00,COMPLETED,1,40.80990848,-73.96054264,40.81040955,-73.95298767,2025-10-01 20:18:16,2025-10-01 20:20:05,2025-10-01 20:18:16,2025-10-01 20:20:06
R214969,2025-10-01 20:17:00,COMPLETED,2,40.80965141,-73.95815447,40.81055069,-73.95265961,2025-10-01 20:18:25,2025-10-01 20:20:15,2025-10-01 20:18:25,2025-10-01 20:20:15
R214970,2025-10-01 20:17:00,COMPLETED,1,40.8177425,-73.9582238,40.8053266,-73.96315042,2025-10-01 20:18:07,2025-10-01 20:21:08,2025-10-01 20:18:08,2025-10-01 20:21:09
R214976,2025-10-01 20:19:00,COMPLETED,2,40.80609759,-73.96035321,40.8007257,-73.9658081,2025-10-01 20:19:56,2025-10-01 20:21:58,2025-10-01 20:19:56,2025-10-01 20:21:58
R214973,2025-10-01 20:18:00,COMPLETED,1,40.81789701,-73.95849846,40.7977056,-73.96322653,2025-10-01 20:18:08,2025-10-01 20:22:55,2025-10-01 20:18:08,2025-10-01 20:22:55
R214974,2025-10-01 20:19:00,COMPLETED,2,40.80944358,-73.96011349,40.81628426,-73.95361617,2025-10-01 20:20:58,2025-10-01 20:22:38,2025-10-01 20:20:58,2025-10-01 20:22:42
R214980,2025-10-01 20:20:00,COMPLETED,1,40.8063369,-73.96384075,40.8208084,-73.9549777,2025-10-01 20:20:08,2025-10-01 20:23:48,2025-10-01 20:20:08,2025-10-01 20:23:47
R214975,2025-10-01 20:19:00,COMPLETED,1,40.8135691,-73.9608119,40.8215829,-73.95681772,2025-10-01 20:21:01,2025-10-01 20:23:20,2025-10-01 20:21:00,2025-10-01 20:24:09
